Complaint,CodedMonth,Crime,District,XCoord,YCoord,Day,Time
18-001804,2018-01,3,1,890047.4,992586.3,01,3
18-000063,2018-01,6,4,899361.5,1026965.0,01,3
18-000018,2018-01,4,2,892323.3,1013550.0,01,3
18-000003,2018-01,4,3,896039.9,1008823.0,01,3
18-000010,2018-01,4,5,889258.8,1025742.0,01,3
18-005259,2018-01,6,1,887948.4,1002640.0,01,3
18-003208,2018-01,7,3,905532.0,1014351.0,01,3
18-000007,2018-01,9,4,896073.6,1019677.0,01,3
18-000016,2018-01,3,4,910545.2,1018735.0,01,3
18-000032,2018-01,4,1,889199.9,990090.1,01,3
18-000097,2018-01,6,4,908475.3,1015955.0,01,3
18-000031,2018-01,9,1,896328.4,999907.0,01,3
18-000402,2018-01,4,4,894906.8,1020188.0,01,3
18-000281,2018-01,6,2,892328.9,1017680.0,01,3
18-000029,2018-01,6,5,888340.1,1023682.0,01,3
18-000026,2018-01,5,3,897819.1,1000267.0,01,3
18-000199,2018-01,6,4,906666.7,1015976.0,01,3
18-000078,2018-01,6,4,909211.0,1018825.0,01,3
18-000472,2018-01,4,4,906589.4,1016244.0,01,3
18-000044,2018-01,4,5,888498.0,1027246.0,01,3
18-001528,2018-01,6,2,889639.9,1008079.0,01,1
18-000056,2018-01,6,5,883561.5,1027076.0,01,1
18-000157,2018-01,7,5,883046.4,1025252.0,01,1
18-004642,2018-01,6,5,887891.8,1025894.0,01,1
18-000205,2018-01,5,2,892414.4,1006218.0,01,1
18-000133,2018-01,7,5,888884.8,1036000.0,01,1
18-000059,2018-01,7,1,894496.6,997069.1,01,1
18-000064,2018-01,6,4,898926.6,1028260.0,01,1
18-000145,2018-01,6,4,906992.1,1019584.0,01,1
18-000255,2018-01,6,5,883723.4,1031194.0,01,1
18-000394,2018-01,6,5,887396.8,1020150.0,01,1
18-000072,2018-01,3,4,904756.4,1024026.0,01,1
18-000080,2018-01,6,4,898337.4,1024456.0,01,1
18-000632,2018-01,5,5,895548.7,1025190.0,01,1
18-000090,2018-01,5,6,893321.3,1048657.0,01,1
18-003635,2018-01,5,6,893179.3,1050928.0,01,2
18-003804,2018-01,6,1,883253.3,997600.8,01,2
18-001550,2018-01,6,1,891348.3,999264.3,01,2
18-002353,2018-01,4,6,897282.6,1033878.0,01,2
18-000458,2018-01,5,5,887903.4,1028966.0,01,2
18-000106,2018-01,6,4,910742.9,1018618.0,01,2
18-000144,2018-01,6,1,888683.8,999992.3,01,2
18-000110,2018-01,6,5,888971.1,1035805.0,01,2
18-000113,2018-01,6,4,909034.6,1018810.0,01,2
18-000143,2018-01,9,3,905973.6,1011338.0,01,2
18-000112,2018-01,7,5,884649.2,1033379.0,01,2
18-000162,2018-01,6,5,884748.4,1033190.0,01,2
18-000131,2018-01,7,3,896767.4,1004989.0,01,2
18-000126,2018-01,4,3,907576.3,1012967.0,01,2
18-000238,2018-01,6,4,902200.5,1030729.0,01,2
18-002180,2018-01,5,5,889276.1,1027309.0,01,2
18-000245,2018-01,5,6,897992.8,1034453.0,01,2
18-000150,2018-01,9,3,897890.5,1001421.0,01,2
18-000294,2018-01,6,6,894778.1,1051331.0,01,2
18-000142,2018-01,1,5,882481.3,1036161.0,01,2
18-000153,2018-01,5,6,893628.9,1039688.0,01,2
18-000134,2018-01,5,5,878016.4,1026594.0,01,2
18-000154,2018-01,6,5,887396.8,1020150.0,01,2
18-000203,2018-01,4,4,904120.0,1029881.0,01,2
18-000140,2018-01,6,5,888628.4,1026138.0,01,2
18-000193,2018-01,7,6,894279.8,1050789.0,01,2
18-000149,2018-01,9,2,879176.4,1005385.0,01,3
18-000159,2018-01,6,5,888152.3,1022085.0,01,3
18-000152,2018-01,3,5,882214.3,1034422.0,01,3
18-000166,2018-01,6,4,910439.8,1019433.0,01,3
18-000164,2018-01,6,6,890629.2,1045969.0,01,3
18-000310,2018-01,6,6,899717.3,1031338.0,01,3
18-000168,2018-01,7,4,904836.1,1022943.0,01,3
18-000163,2018-01,3,1,885499.6,1000599.0,01,3
18-000165,2018-01,4,6,893386.4,1031860.0,01,3
18-000346,2018-01,6,1,890794.5,995766.6,01,3
18-000297,2018-01,6,1,890485.1,995971.1,01,3
18-000175,2018-01,7,6,892241.9,1045308.0,01,3
18-000197,2018-01,6,4,909034.6,1018810.0,01,3
18-000174,2018-01,3,5,891902.0,1025862.0,01,3
18-000178,2018-01,4,1,891655.7,1000340.0,01,3
18-000191,2018-01,7,6,903302.4,1035485.0,02,3
18-000179,2018-01,9,5,889476.2,1034043.0,02,3
18-000190,2018-01,7,4,899038.2,1024045.0,02,3
18-000184,2018-01,7,5,882296.1,1034238.0,02,3
18-000320,2018-01,5,3,895519.2,1002944.0,02,1
18-000273,2018-01,6,5,887661.3,1026321.0,02,1
